id,model_name,arch,framework,backend,workload,accuracy,score
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (HP),"100%
",9338
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (Q),"99%
",10037
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (SP),"100%
",10037
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (HP),"100%
",67447
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (Q),"95%
",64981
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Object Detection (SP),"100%
",1497
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Object Detection (HP),"99%
",7587
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Object Detection (Q),"89%
",7076
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Face Detection (SP),"100%
",3311
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Face Detection (HP),"100%
",14521
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Face Detection (Q),"100%
",13891
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (SP),"100%
",5668
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (HP),"99%
",50739
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (Q),"85%
",52329
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Style Transfer (SP),"100%
",22005
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Style Transfer (HP),"100%
",123084
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Style Transfer (Q),"96%
",115072
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (SP),"100%
",4158
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (HP),"100%
",26282
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Image Super-Resolution (Q),"99%
",27457
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Text Classification (SP),"100%
",4254
542798,"MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Text Classification (HP),"100%
",7058
